date;DU UH Equity;SCL LN Equity;BMA AR Equity;GCLA AR Equity;EBS AV Equity;OMV AV Equity;VER AV Equity;ABP AU Equity;AGL AU Equity;AHY AU Equity;AIO AU Equity;AMC AU Equity;ANZ LN Equity;AST AU Equity;ASX AU Equity;AWC AU Equity;AWE AU Equity;AZJ AU Equity;BGA AU Equity;BHP AU Equity;BKW AU Equity;BPT AU Equity;BSL AU Equity;BWP AU Equity;BXB LN Equity;CBA AU Equity;CCL AU Equity;CGC AU Equity;CGF AU Equity;CHC AU Equity;CIM AU Equity;CSR AU Equity;CTX AU Equity;CWN AU Equity;CWY AU Equity;DOW AU Equity;DUE AU Equity;DXS AU Equity;EHL AU Equity;EVN AU Equity;FMG AU Equity;FXJ AU Equity;GMG AU Equity;GNC AU Equity;GPT AU Equity;GWA AU Equity;IAG AU Equity;IFN AU Equity;IGO AU Equity;IPL AU Equity;KCN AU Equity
30/06/2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/07/2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/08/2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/09/2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29/10/2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/11/2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/12/2009;0;0;0;0;0.205996911;0.000111125;0;0.096452257;0.00566053;0.096452257;0.875774617;0;0;0.216494088;0.013834168;0;0.001918017;0;0;-9.81E-06;0.102649051;0.05248954;1.34E-05;0.025788409;0;0.019964473;0.017014919;0;-0.14002921;0.469402767;-0.14002921;0.139093487;0;0;1.127866331;0.016489888;0.027334544;0.025202849;0;0.411984858;0.005680469;0;0.742281767;0.55745584;0.589724066;0.010295156;0.003690426;-0.060970697;0.001758427;0.00999235;0.039359886
31/01/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28/02/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/03/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
